id,velo_id,utilisateur,type_probleme,description,date_creation
8873,1401,clemence93,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483542+00:00
8874,1401,elebon,Batterie faible,Batterie à 9.5% à la fin de la location.,2025-08-27T02:52:01.483572+00:00
8875,1401,lecoqmargot,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483588+00:00
8876,1401,kbernard,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483599+00:00
8877,1401,waubry,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483611+00:00
8878,1401,chauveauanouk,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483622+00:00
8879,1401,maurice44,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483632+00:00
8880,1401,bertrand39,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483642+00:00
8881,1401,richard68,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483652+00:00
8882,1401,alixbailly,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483663+00:00
8883,1401,georgesgallet,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483673+00:00
8884,1401,virginie25,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483684+00:00
8885,1402,rdumont,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483694+00:00
8886,1402,fhamel,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483705+00:00
8887,1402,lecoqmargot,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483715+00:00
8888,1402,nathaliemoulin,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483724+00:00
8889,1402,gantoine,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483734+00:00
8890,1402,josette10,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483744+00:00
8891,1402,bertrand39,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483754+00:00
8892,1402,vincent12,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483764+00:00
8893,1402,jeromecharrier,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483774+00:00
8894,1402,bloteleonore,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483784+00:00
8895,1402,ngillet,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483794+00:00
8896,1403,julien54,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483804+00:00
8897,1403,juliette07,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483814+00:00
8898,1403,idupuy,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483824+00:00
8899,1403,blancanastasie,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483834+00:00
8900,1403,emiliemartin,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483844+00:00
8901,1403,etiennelaine,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483854+00:00
8902,1403,nicolas32,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483864+00:00
8903,1403,martinemoulin,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483873+00:00
8904,1403,gabrielmeunier,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483883+00:00
8905,1403,bernadette01,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483894+00:00
8906,1403,blelievre,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483904+00:00
8907,1403,tcamus,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483914+00:00
8908,1403,theodoremarechal,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483924+00:00
8909,1404,lucie10,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483933+00:00
8910,1404,godardeleonore,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483943+00:00
8911,1404,alainmaillard,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483953+00:00
8912,1404,tleclerc,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483963+00:00
8913,1404,manon21,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483972+00:00
8914,1404,trobin,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.483992+00:00
8915,1404,agnes85,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.484003+00:00
8916,1404,auguste69,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.484013+00:00
8917,1404,caroline81,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.484023+00:00
8918,1404,mbazin,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.484033+00:00
8919,1404,audrey72,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.484042+00:00
8920,1404,suzanne10,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.484052+00:00
8921,1405,npereira,Batterie faible,Batterie à 0.0% à la fin de la location.,2025-08-27T02:52:01.484062+00:00
